-21,77365;-17,23023;-14,74591;-13,3847;-12,82988;-13,14031;-8,708436;-6,443923;-5,382052;-5,13028;-7,081738;-3,021309;-1,53117;-1,213159;-1,461257;-3,066759;-0,3413358;0;-0,2325793;-0,7183568;-1,345703;-0,4450942;-0,6691876;-0,9792461;-1,432864;-6,538663;-5,526144;-5,082677;-4,817774;-4,454558
-21,76225;-17,22014;-14,7378;-13,37945;-12,82895;-13,12932;-8,699273;-6,437613;-5,379102;-5,131649;-7,071664;-3,01481;-1,528656;-1,213717;-1,464385;-3,059608;-0,3393636;-0,000388816;-0,2340732;-0,7196492;-1,342493;-0,4448904;-0,6692693;-0,9794437;-1,434899;-6,536624;-5,523802;-5,080053;-4,814084;-4,461032
-21,75087;-17,21008;-14,72971;-13,37421;-12,82805;-13,11835;-8,69013;-6,431322;-5,376167;-5,133034;-7,061607;-3,00833;-1,526155;-1,21428;-1,467523;-3,052474;-0,3374026;-0,000779203;-0,2355668;-0,7209491;-1,339299;-0,4446888;-0,6693554;-0,9796448;-1,436868;-6,534599;-5,521472;-5,077439;-4,810414;-4,467707
-21,73951;-17,20003;-14,72163;-13,369;-12,82718;-13,10739;-8,681004;-6,425042;-5,37325;-5,134439;-7,05157;-3,001868;-1,523665;-1,214851;-1,470673;-3,045356;-0,3354507;-0,001172196;-0,2370612;-0,7222542;-1,336116;-0,4444926;-0,6694432;-0,9798476;-1,438771;-6,532587;-5,519154;-5,074838;-4,806766;-4,474554
-21,72817;-17,19;-14,71358;-13,3638;-12,82634;-13,09645;-8,671896;-6,418778;-5,370347;-5,135862;-7,04155;-2,995423;-1,521187;-1,215428;-1,473832;-3,038252;-0,3335067;-0,001565724;-0,2385547;-0,7235669;-1,332945;-0,4442992;-0,6695315;-0,9800534;-1,440609;-6,530588;-5,516844;-5,072246;-4,803139;-4,481546
-21,71685;-17,17999;-14,70554;-13,35863;-12,82553;-13,08553;-8,662807;-6,412528;-5,367462;-5,1373;-7,031549;-2,988995;-1,518718;-1,216012;-1,477001;-3,031166;-0,3315734;-0,001963932;-0,2400486;-0,7248859;-1,329789;-0,4441085;-0,6696227;-0,9802608;-1,442381;-6,528602;-5,514546;-5,069667;-4,799533;-4,488653
-21,70554;-17,17;-14,69752;-13,35347;-12,82474;-13,07462;-8,653736;-6,406292;-5,364593;-5,138759;-7,021568;-2,982586;-1,516264;-1,216603;-1,480182;-3,024096;-0,3296513;-0,002362675;-0,2415437;-0,726212;-1,326644;-0,4439221;-0,6697161;-0,980473;-1,44409;-6,52663;-5,512261;-5,0671;-4,79595;-4,495848
-21,69425;-17,16002;-14,68952;-13,34834;-12,82399;-13,06373;-8,644683;-6,400073;-5,361739;-5,140236;-7,011604;-2,976194;-1,513819;-1,217201;-1,483372;-3,017042;-0,3277377;-0,00276299;-0,2430381;-0,7275466;-1,323512;-0,4437396;-0,6698117;-0,9806862;-1,445737;-6,52467;-5,509985;-5,064545;-4,792386;-4,503101
-21,68298;-17,15006;-14,68154;-13,34322;-12,82326;-13,05286;-8,635647;-6,393867;-5,358901;-5,14173;-7,001659;-2,969819;-1,511386;-1,217805;-1,486573;-3,010003;-0,3258342;-0,003165913;-0,2445322;-0,7288871;-1,320393;-0,4435593;-0,6699085;-0,9809018;-1,447321;-6,522722;-5,50772;-5,061998;-4,788845;-4,510386
-21,67172;-17,14012;-14,67358;-13,33813;-12,82256;-13,042;-8,62663;-6,387674;-5,356078;-5,143243;-6,991732;-2,963462;-1,508964;-1,218415;-1,489784;-3,002979;-0,3239386;-0,003570927;-0,2460259;-0,7302374;-1,317284;-0,4433811;-0,6700074;-0,9811209;-1,448843;-6,520788;-5,505466;-5,059464;-4,785323;-4,517673
