l=26 s=1;;;;l=24 s=1;;;;l=22 s=1;;;;l=20 s=1;;;;l=18 s=1;;;;l=26 s=1.5;;;;l=24 s=1.5;;;;l=22 s=1.5;;;;l=20 s=1.5;;;;l=18 s=1.5;;;;l=26 s=2;;;;l=24 s=2;;;;l=22 s=2;;;;l=20 s=2;;;;l=18 s=2;
8,012;-17,42164;;;8,012;-15,99105;;;8,012;-22,88926;;;8,012;-26,86892;;;8,012;-23,89874;;;8,012;-14,80108;;;8,012;-15,52;;;8,012;-28,16407;;;8,012;-24,9943;;;8,012;-24,9943;;;8,012;-7,895271;;;8,012;-7,895271;;;8,012;-21,53197;;;8,012;-21,53197;;;8,012;-20,13162
8,016;-17,56554;;;8,016;-16,12336;;;8,016;-22,93138;;;8,016;-26,80655;;;8,016;-23,9973;;;8,016;-14,57498;;;8,016;-15,37191;;;8,016;-27,65952;;;8,016;-24,95647;;;8,016;-24,95647;;;8,016;-7,849971;;;8,016;-7,849971;;;8,016;-21,40837;;;8,016;-21,40837;;;8,016;-20,43511
8,02;-17,53184;;;8,02;-16,27713;;;8,02;-22,99933;;;8,02;-26,72516;;;8,02;-24,09185;;;8,02;-14,30265;;;8,02;-15,23222;;;8,02;-27,18443;;;8,02;-24,93786;;;8,02;-24,93786;;;8,02;-7,816298;;;8,02;-7,816298;;;8,02;-21,29614;;;8,02;-21,29614;;;8,02;-20,75693
8,024;-17,32593;;;8,024;-16,45152;;;8,024;-23,09308;;;8,024;-26,6277;;;8,024;-24,18142;;;8,024;-13,99674;;;8,024;-15,10168;;;8,024;-26,73963;;;8,024;-24,93816;;;8,024;-24,93816;;;8,024;-7,794157;;;8,024;-7,794157;;;8,024;-21,19495;;;8,024;-21,19495;;;8,024;-21,09334
8,028;-16,97978;;;8,028;-16,64542;;;8,028;-23,21271;;;8,028;-26,51738;;;8,028;-24,26501;;;8,028;-13,66932;;;8,028;-14,98091;;;8,028;-26,32508;;;8,028;-24,95714;;;8,028;-24,95714;;;8,028;-7,783445;;;8,028;-7,783445;;;8,028;-21,10449;;;8,028;-21,10449;;;8,028;-21,43936
8,032;-16,5396;;;8,032;-16,85741;;;8,032;-23,35839;;;8,032;-26,39752;;;8,032;-24,34169;;;8,032;-13,33109;;;8,032;-14,87036;;;8,032;-25,94022;;;8,032;-24,99454;;;8,032;-24,99454;;;8,032;-7,784055;;;8,032;-7,784055;;;8,032;-21,02448;;;8,032;-21,02448;;;8,032;-21,78841
8,036;-16,0522;;;8,036;-17,0857;;;8,036;-23,53041;;;8,036;-26,27145;;;8,036;-24,41053;;;8,036;-12,99104;;;8,036;-14,77042;;;8,036;-25,5842;;;8,036;-25,05015;;;8,036;-25,05015;;;8,036;-7,79587;;;8,036;-7,79587;;;8,036;-20,95467;;;8,036;-20,95467;;;8,036;-22,13216
8,04;-15,55655;;;8,04;-17,32794;;;8,04;-23,72911;;;8,04;-26,14233;;;8,04;-24,47068;;;8,04;-12,6564;;;8,04;-14,68137;;;8,04;-25,25605;;;8,04;-25,12377;;;8,04;-25,12377;;;8,04;-7,818759;;;8,04;-7,818759;;;8,04;-20,8948;;;8,04;-20,8948;;;8,04;-22,46037
8,044;-15,08122;;;8,044;-17,58119;;;8,044;-23,95491;;;8,044;-26,01314;;;8,044;-24,52137;;;8,044;-12,33278;;;8,044;-14,60338;;;8,044;-24,95473;;;8,044;-25,2152;;;8,044;-25,2152;;;8,044;-7,852575;;;8,044;-7,852575;;;8,044;-20,84466;;;8,044;-20,84466;;;8,044;-22,7611
8,048;-14,64545;;;8,048;-17,84175;;;8,048;-24,20828;;;8,048;-25,88659;;;8,048;-24,56195;;;8,048;-12,02442;;;8,048;-14,5366;;;8,048;-24,6792;;;8,048;-25,32424;;;8,048;-25,32424;;;8,048;-7,897147;;;8,048;-7,897147;;;8,048;-20,80402;;;8,048;-20,80402;;;8,048;-23,02127
8,052;-14,26138;;;8,052;-18,10505;;;8,052;-24,48972;;;8,052;-25,76513;;;8,052;-24,59188;;;8,052;-11,73445;;;8,052;-14,48106;;;8,052;-24,42847;;;8,052;-25,45066;;;8,052;-25,45066;;;8,052;-7,952279;;;8,052;-7,952279;;;8,052;-20,77268;;;8,052;-20,77268;;;8,052;-23,22778
8,056;-13,93627;;;8,056;-18,36558;;;8,056;-24,79971;;;8,056;-25,65093;;;8,056;-24,61078;;;8,056;-11,46511;;;8,056;-14,43677;;;8,056;-24,20161;;;8,056;-25,59422;;;8,056;-25,59422;;;8,056;-8,017734;;;8,056;-8,017734;;;8,056;-20,75044;;;8,056;-20,75044;;;8,056;-23,36902
8,06;-13,67419;;;8,06;-18,61688;;;8,06;-25,13869;;;8,06;-25,5459;;;8,06;-24,61841;;;8,06;-11,21799;;;8,06;-14,40369;;;8,06;-23,99775;;;8,06;-25,75459;;;8,06;-25,75459;;;8,06;-8,093233;;;8,06;-8,093233;;;8,06;-20,73713;;;8,06;-20,73713;;;8,06;-23,43665
8,064;-13,47724;;;8,064;-18,85162;;;8,064;-25,5069;;;8,064;-25,45173;;;8,064;-24,61472;;;8,064;-10,99414;;;8,064;-14,38169;;;8,064;-23,81611;;;8,064;-25,93141;;;8,064;-25,93141;;;8,064;-8,178443;;;8,064;-8,178443;;;8,064;-20,73257;;;8,064;-20,73257;;;8,064;-23,42706
8,068;-13,34635;;;8,068;-19,06186;;;8,068;-25,90435;;;8,068;-25,36988;;;8,068;-24,5998;;;8,068;-10,79426;;;8,068;-14,37064;;;8,068;-23,65595;;;8,068;-26,12418;;;8,068;-26,12418;;;8,068;-8,272958;;;8,068;-8,272958;;;8,068;-20,73656;;;8,068;-20,73656;;;8,068;-23,34206
8,072;-13,28171;;;8,072;-19,23949;;;8,072;-26,33054;;;8,072;-25,30162;;;8,072;-24,57392;;;8,072;-10,61879;;;8,072;-14,37033;;;8,072;-23,51665;;;8,072;-26,33228;;;8,072;-26,33228;;;8,072;-8,376293;;;8,072;-8,376293;;;8,072;-20,74895;;;8,072;-20,74895;;;8,072;-23,18854
8,076;-13,28309;;;8,076;-19,37683;;;8,076;-26,78427;;;8,076;-25,24809;;;8,076;-24,5375;;;8,076;-10,46794;;;8,076;-14,38052;;;8,076;-23,39761;;;8,076;-26,5549;;;8,076;-26,5549;;;8,076;-8,487865;;;8,076;-8,487865;;;8,076;-20,76955;;;8,076;-20,76955;;;8,076;-22,97721
8,08;-13,34985;;;8,08;-19,46742;;;8,08;-27,26321;;;8,08;-25,21029;;;8,08;-24,4911;;;8,08;-10,34181;;;8,08;-14,40088;;;8,08;-23,29833;;;8,08;-26,791;;;8,08;-26,791;;;8,08;-8,606973;;;8,08;-8,606973;;;8,08;-20,79818;;;8,08;-20,79818;;;8,08;-22,72088
8,084;-13,48097;;;8,084;-19,50674;;;8,084;-27,76341;;;8,084;-25,18912;;;8,084;-24,43539;;;8,084;-10,24041;;;8,084;-14,43107;;;8,084;-23,21835;;;8,084;-27,03922;;;8,084;-27,03922;;;8,084;-8,732772;;;8,084;-8,732772;;;8,084;-20,83465;;;8,084;-20,83465;;;8,084;-22,43281
8,088;-13,67475;;;8,088;-19,49282;;;8,088;-28,27854;;;8,088;-25,18541;;;8,088;-24,37116;;;8,088;-10,16364;;;8,088;-14,47066;;;8,088;-23,15727;;;8,088;-27,29787;;;8,088;-27,29787;;;8,088;-8,864263;;;8,088;-8,864263;;;8,088;-20,87877;;;8,088;-20,87877;;;8,088;-22,12543
8,092;-13,92849;;;8,092;-19,42649;;;8,092;-28,79904;;;8,092;-25,19996;;;8,092;-24,29926;;;8,092;-10,11142;;;8,092;-14,51916;;;8,092;-23,11476;;;8,092;-27,56477;;;8,092;-27,56477;;;8,092;-9,000258;;;8,092;-9,000258;;;8,092;-20,93034;;;8,092;-20,93034;;;8,092;-21,80961
8,096;-14,23787;;;8,096;-19,31126;;;8,096;-29,31116;;;8,096;-25,23351;;;8,096;-24,22061;;;8,096;-10,08356;;;8,096;-14,57601;;;8,096;-23,0905;;;8,096;-27,83722;;;8,096;-27,83722;;;8,096;-9,13936;;;8,096;-9,13936;;;8,096;-20,98911;;;8,096;-20,98911;;;8,096;-21,49435
8,1;-14,59602;;;8,1;-19,15285;;;8,1;-29,79617;;;8,1;-25,2868;;;8,1;-24,13614;;;8,1;-10,07988;;;8,1;-14,64057;;;8,1;-23,08425;;;8,1;-28,1119;;;8,1;-28,1119;;;8,1;-9,279941;;;8,1;-9,279941;;;8,1;-21,05486;;;8,1;-21,05486;;;8,1;-21,18683
8,104;-14,99231;;;8,104;-18,95847;;;8,104;-30,23029;;;8,104;-25,36058;;;8,104;-24,04681;;;8,104;-10,10014;;;8,104;-14,7121;;;8,104;-23,09578;;;8,104;-28,3848;;;8,104;-28,3848;;;8,104;-9,420119;;;8,104;-9,420119;;;8,104;-21,1273;;;8,104;-21,1273;;;8,104;-20,89256
8,108;-15,41084;;;8,108;-18,73605;;;8,108;-30,5861;;;8,108;-25,45562;;;8,108;-23,95357;;;8,108;-10,14406;;;8,108;-14,78978;;;8,108;-23,1249;;;8,108;-28,65114;;;8,108;-28,65114;;;8,108;-9,557755;;;8,108;-9,557755;;;8,108;-21,20615;;;8,108;-21,20615;;;8,108;-20,61568
8,112;-15,82894;;;8,112;-18,49357;;;8,112;-30,8361;;;8,112;-25,57276;;;8,112;-23,85736;;;8,112;-10,21129;;;8,112;-14,87267;;;8,112;-23,17146;;;8,112;-28,90546;;;8,112;-28,90546;;;8,112;-9,690434;;;8,112;-9,690434;;;8,112;-21,29108;;;8,112;-21,29108;;;8,112;-20,35924
8,116;-16,21641;;;8,116;-18,23852;;;8,116;-30,9582;;;8,116;-25,71286;;;8,116;-23,75907;;;8,116;-10,30135;;;8,116;-14,95975;;;8,116;-23,2353;;;8,116;-29,14165;;;8,116;-29,14165;;;8,116;-9,815502;;;8,116;-9,815502;;;8,116;-21,38171;;;8,116;-21,38171;;;8,116;-20,1254
8,12;-16,53691;;;8,12;-17,97762;;;8,12;-30,94155;;;8,12;-25,87688;;;8,12;-23,65956;;;8,12;-10,41368;;;8,12;-15,04985;;;8,12;-23,3163;;;8,12;-29,35317;;;8,12;-29,35317;;;8,12;-9,930086;;;8,12;-9,930086;;;8,12;-21,47763;;;8,12;-21,47763;;;8,12;-19,91571
8,124;-16,75289;;;8,124;-17,71661;;;8,124;-30,78976;;;8,124;-26,06589;;;8,124;-23,55964;;;8,124;-10,54751;;;8,124;-15,14173;;;8,124;-23,41431;;;8,124;-29,53342;;;8,124;-29,53342;;;8,124;-10,03115;;;8,124;-10,03115;;;8,124;-21,57837;;;8,124;-21,57837;;;8,124;-19,73122
8,128;-16,83417;;;8,128;-17,4603;;;8,128;-30,51982;;;8,128;-26,28105;;;8,128;-23,46005;;;8,128;-10,70183;;;8,128;-15,234;;;8,128;-23,52921;;;8,128;-29,67616;;;8,128;-29,67616;;;8,128;-10,11561;;;8,128;-10,11561;;;8,128;-21,68342;;;8,128;-21,68342;;;8,128;-19,57263
8,132;-16,7674;;;8,132;-17,21256;;;8,132;-30,15717;;;8,132;-26,52369;;;8,132;-23,36151;;;8,132;-10,87533;;;8,132;-15,32521;;;8,132;-23,66081;;;8,132;-29,77608;;;8,132;-29,77608;;;8,132;-10,1804;;;8,132;-10,1804;;;8,132;-21,7922;;;8,132;-21,7922;;;8,132;-19,4404
8,136;-16,56073;;;8,136;-16,97647;;;8,136;-29,72983;;;8,136;-26,79529;;;8,136;-23,26464;;;8,136;-11,06627;;;8,136;-15,41379;;;8,136;-23,80891;;;8,136;-29,8293;;;8,136;-29,8293;;;8,136;-10,22266;;;8,136;-10,22266;;;8,136;-21,90404;;;8,136;-21,90404;;;8,136;-19,33482
