        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                      -15.405043
               8.0039997                      -15.252099
               8.0079994                      -15.058342
               8.0120001                      -14.831353
               8.0159998                      -14.578818
               8.0199995                      -14.308015
               8.0240002                      -14.025501
               8.0279999                      -13.736939
               8.0319996                      -13.447058
               8.0359993                      -13.159714
                    8.04                      -12.877956
               8.0439997                       -12.60416
               8.0479994                      -12.340132
               8.0519991                      -12.087212
               8.0559998                      -11.846365
               8.0600004                      -11.618259
               8.0640001                      -11.403343
               8.0679998                      -11.201878
               8.0719995                      -11.013984
               8.0760002                      -10.839692
               8.0799999                      -10.678945
               8.0839996                      -10.531627
               8.0879993                      -10.397585
                   8.092                      -10.276631
               8.0959997                      -10.168554
               8.0999994                      -10.073132
               8.1040001                      -9.9901209
               8.1079998                      -9.9192801
               8.1119995                      -9.8603525
               8.1159992                      -9.8130808
               8.1199999                      -9.7771988
               8.1239996                      -9.7524328
               8.1279993                      -9.7385044
                   8.132                      -9.7351227
               8.1359997                      -9.7419834
               8.1400003                      -9.7587709
               8.1440001                      -9.7851467
               8.1479998                       -9.820755
               8.1519995                      -9.8652096
               8.1560001                      -9.9180965
               8.1599998                      -9.9789658
               8.1639996                      -10.047327
               8.1680002                      -10.122642
               8.1719999                      -10.204324
               8.1759996                      -10.291728
               8.1799994                      -10.384146
                   8.184                       -10.48081
               8.1879997                      -10.580874
               8.1919994                      -10.683424
               8.1959991                      -10.787472
               8.1999998                       -10.89196
               8.2040005                       -10.99576
               8.2080002                      -11.097685
               8.2119999                      -11.196505
               8.2159996                      -11.290956
               8.2200003                      -11.379763
                   8.224                       -11.46166
               8.2279997                       -11.53544
               8.2319994                      -11.599947
               8.2360001                      -11.654152
               8.2399998                      -11.697142
               8.2439995                      -11.728192
               8.2480001                      -11.746759
               8.2519999                      -11.752508
               8.2559996                      -11.745329
               8.2599993                      -11.725329
               8.2639999                      -11.692828
               8.2679996                      -11.648345
               8.2719994                      -11.592567
               8.2759991                      -11.526327
               8.2799997                      -11.450569
               8.2840004                      -11.366311
               8.2880001                      -11.274622
               8.2919998                      -11.176578
               8.2959995                      -11.073245
               8.3000002                      -10.965652
               8.3039999                      -10.854777
               8.3079996                      -10.741526
               8.3119993                      -10.626726
                   8.316                       -10.51112
               8.3199997                      -10.395357
               8.3239994                      -10.280006
               8.3280001                      -10.165531
               8.3319998                      -10.052323
               8.3359995                      -9.9406805
