        Frequency                _d0=25.14_l=16.76_sh=21.33/real
                   8.908                      -11.017261
               8.9119997                      -11.072551
               8.9159994                      -11.128666
               8.9200001                      -11.185007
               8.9239998                      -11.240939
               8.9279995                      -11.295794
               8.9319992                      -11.348866
               8.9359989                      -11.399433
               8.9399996                      -11.446748
               8.9439993                      -11.490055
                   8.948                      -11.528606
               8.9520006                      -11.561666
               8.9560003                      -11.588525
                    8.96                      -11.608521
               8.9639997                      -11.621051
               8.9679995                      -11.625582
               8.9720001                      -11.621672
               8.9759998                      -11.608978
               8.9799995                      -11.587263
               8.9840002                      -11.556408
               8.9879999                      -11.516415
               8.9919996                      -11.467405
               8.9959993                      -11.409617
                8.999999                      -11.343394
               9.0039997                      -11.269186
               9.0079994                      -11.187527
               9.0119991                      -11.099022
               9.0159998                      -11.004342
               9.0200005                      -10.904197
               9.0240002                      -10.799328
               9.0279999                      -10.690496
               9.0319996                      -10.578459
               9.0360003                      -10.463972
                    9.04                      -10.347769
               9.0439997                      -10.230566
               9.0480003                      -10.113043
                   9.052                      -9.9958496
               9.0559998                      -9.8795929
               9.0599995                      -9.7648468
               9.0639992                      -9.6521416
               9.0679998                      -9.5419703
               9.0719995                      -9.4347839
               9.0759993                      -9.3309984
               9.0799999                       -9.230999
               9.0839996                      -9.1351299
               9.0879993                      -9.0437078
               9.0919991                      -8.9570189
               9.0959988                      -8.8753242
               9.1000004                      -8.7988586
               9.1040001                      -8.7278395
               9.1079998                      -8.6624546
               9.1120005                      -8.6028814
               9.1160002                      -8.5492754
               9.1199999                      -8.5017796
               9.1239996                      -8.4605198
               9.1279993                      -8.4256096
                   9.132                      -8.3971519
               9.1359997                      -8.3752375
               9.1399994                      -8.3599415
               9.1440001                      -8.3513327
               9.1479998                      -8.3494682
               9.1519995                      -8.3543949
               9.1559992                      -8.3661442
               9.1599989                       -8.384737
               9.1639996                      -8.4101791
               9.1679993                      -8.4424667
               9.1719999                      -8.4815674
               9.1760006                       -8.527442
               9.1800003                       -8.580018
                   9.184                       -8.639204
               9.1879997                      -8.7048759
               9.1919994                      -8.7768764
               9.1960001                      -8.8550081
               9.1999998                       -8.939024
               9.2039995                      -9.0286274
               9.2080002                      -9.1234608
               9.2119999                      -9.2230949
               9.2159996                      -9.3270216
               9.2199993                      -9.4346437
                9.223999                      -9.5452633
