        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                      0.24824244
               8.0039997                       0.2429107
               8.0079994                      0.23864439
               8.0120001                      0.23552611
               8.0159998                      0.23361601
               8.0199995                      0.23294757
               8.0240002                      0.23352478
               8.0279999                      0.23532182
               8.0319996                      0.23828469
               8.0359993                      0.24233563
                    8.04                      0.24737813
               8.0439997                      0.25330293
               8.0479994                       0.2599937
               8.0519991                      0.26733184
               8.0559998                      0.27520046
               8.0600004                      0.28348714
               8.0640001                      0.29208586
               8.0679998                      0.30089778
               8.0719995                      0.30983204
               8.0760002                      0.31880558
               8.0799999                      0.32774299
               8.0839996                      0.33657596
               8.0879993                      0.34524307
                   8.092                      0.35368896
               8.0959997                      0.36186412
               8.0999994                      0.36972418
               8.1040001                      0.37722975
               8.1079998                      0.38434592
               8.1119995                      0.39104182
               8.1159992                      0.39729035
               8.1199999                      0.40306827
               8.1239996                      0.40835553
               8.1279993                      0.41313538
                   8.132                      0.41739398
               8.1359997                      0.42112064
               8.1400003                      0.42430732
               8.1440001                      0.42694861
               8.1479998                      0.42904189
               8.1519995                       0.4305872
               8.1560001                      0.43158692
               8.1599998                      0.43204603
               8.1639996                      0.43197197
               8.1680002                      0.43137464
               8.1719999                      0.43026638
               8.1759996                        0.428662
               8.1799994                      0.42657876
                   8.184                      0.42403641
               8.1879997                      0.42105711
               8.1919994                      0.41766572
               8.1959991                      0.41388953
               8.1999998                      0.40975848
               8.2040005                      0.40530503
               8.2080002                      0.40056455
               8.2119999                      0.39557478
               8.2159996                      0.39037642
               8.2200003                      0.38501272
                   8.224                       0.3795298
               8.2279997                      0.37397626
               8.2319994                      0.36840317
               8.2360001                      0.36286405
               8.2399998                      0.35741463
               8.2439995                      0.35211203
               8.2480001                      0.34701514
               8.2519999                      0.34218317
               8.2559996                       0.3376756
               8.2599993                      0.33355099
               8.2639999                      0.32986605
               8.2679996                      0.32667458
               8.2719994                      0.32402638
               8.2759991                      0.32196581
               8.2799997                      0.32053086
               8.2840004                      0.31975219
               8.2880001                      0.31965169
               8.2919998                      0.32024279
               8.2959995                      0.32152936
               8.3000002                      0.32350624
               8.3039999                      0.32615936
               8.3079996                      0.32946652
               8.3119993                      0.33339834
                   8.316                      0.33791915
               8.3199997                      0.34298855
               8.3239994                      0.34856209
               8.3280001                      0.35459295
               8.3319998                      0.36103266
               8.3359995                      0.36783245
               8.3399992                      0.37494352
               8.3439999                      0.38231847
               8.3479996                      0.38991114
               8.3520002                      0.39767745
               8.3559999                      0.40557578
               8.3599997                      0.41356686
               8.3640003                      0.42161432
                   8.368                      0.42968431
               8.3719997                      0.43774614
               8.3759995                      0.44577157
               8.3800001                      0.45373553
               8.3839998                      0.46161547
               8.3879995                      0.46939147
               8.3920002                      0.47704634
               8.3959999                      0.48456529
               8.3999996                      0.49193612
               8.4039993                      0.49914855
                   8.408                      0.50619519
               8.4119997                      0.51306993
               8.4159994                      0.51976943
               8.4199991                      0.52629167
               8.4239998                      0.53263676
               8.4280005                      0.53880638
               8.4320002                      0.54480374
               8.4359999                      0.55063379
               8.4399996                      0.55630213
               8.4440002                       0.5618161
                   8.448                      0.56718415
