        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                      -5.1216202
               8.0039997                      -5.0722528
               8.0079994                      -5.0285621
               8.0120001                      -4.9907331
               8.0159998                        -4.95891
               8.0199995                      -4.9331908
               8.0240002                       -4.913631
               8.0279999                      -4.9002481
               8.0319996                      -4.8930254
               8.0359993                      -4.8919034
                    8.04                      -4.8967891
               8.0439997                      -4.9075551
               8.0479994                      -4.9240313
               8.0519991                      -4.9460182
               8.0559998                      -4.9732752
               8.0600004                      -5.0055246
               8.0640001                      -5.0424504
               8.0679998                       -5.083694
               8.0719995                      -5.1288652
               8.0760002                      -5.1775217
               8.0799999                      -5.2291908
               8.0839996                      -5.2833538
               8.0879993                      -5.3394561
                   8.092                      -5.3969054
               8.0959997                      -5.4550724
               8.0999994                      -5.5133033
               8.1040001                      -5.5709119
               8.1079998                      -5.6272006
               8.1119995                      -5.6814613
               8.1159992                      -5.7329803
               8.1199999                      -5.7810612
               8.1239996                      -5.8250256
               8.1279993                      -5.8642344
                   8.132                      -5.8980894
               8.1359997                      -5.9260659
               8.1400003                      -5.9477053
               8.1440001                       -5.962635
               8.1479998                      -5.9705834
               8.1519995                      -5.9713736
               8.1560001                      -5.9649372
               8.1599998                      -5.9513168
               8.1639996                      -5.9306622
               8.1680002                      -5.9032159
               8.1719999                      -5.8693242
               8.1759996                      -5.8294082
               8.1799994                      -5.7839732
                   8.184                      -5.7335768
               8.1879997                      -5.6788235
               8.1919994                      -5.6203547
               8.1959991                      -5.5588255
               8.1999998                      -5.4949112
               8.2040005                      -5.4292727
               8.2080002                       -5.362565
               8.2119999                      -5.2954202
               8.2159996                      -5.2284412
               8.2200003                      -5.1622076
                   8.224                       -5.097249
               8.2279997                      -5.0340662
               8.2319994                      -4.9731107
               8.2360001                      -4.9147959
               8.2399998                      -4.8594875
               8.2439995                      -4.8075113
               8.2480001                      -4.7591486
               8.2519999                      -4.7146354
               8.2559996                      -4.6741672
               8.2599993                      -4.6379023
               8.2639999                      -4.6059518
               8.2679996                      -4.5783911
               8.2719994                      -4.5552545
               8.2759991                      -4.5365405
               8.2799997                      -4.5222039
               8.2840004                      -4.5121632
               8.2880001                      -4.5063014
               8.2919998                      -4.5044575
               8.2959995                      -4.5064354
               8.3000002                      -4.5119967
               8.3039999                       -4.520865
               8.3079996                      -4.5327282
               8.3119993                       -4.547226
                   8.316                      -4.5639677
               8.3199997                      -4.5825152
               8.3239994                      -4.6024008
               8.3280001                      -4.6231174
               8.3319998                      -4.6441255
               8.3359995                      -4.6648588
               8.3399992                      -4.6847205
               8.3439999                      -4.7031021
               8.3479996                      -4.7193785
               8.3520002                      -4.7329226
               8.3559999                      -4.7431068
               8.3599997                      -4.7493281
               8.3640003                      -4.7510018
                   8.368                      -4.7475786
               8.3719997                      -4.7385645
               8.3759995                      -4.7235193
               8.3800001                      -4.7020721
               8.3839998                      -4.6739311
               8.3879995                      -4.6388903
               8.3920002                      -4.5968332
               8.3959999                      -4.5477338
               8.3999996                      -4.4916587
               8.4039993                      -4.4287734
                   8.408                       -4.359323
               8.4119997                      -4.2836337
               8.4159994                      -4.2021027
               8.4199991                      -4.1151905
               8.4239998                      -4.0234075
               8.4280005                      -3.9273062
               8.4320002                      -3.8274679
               8.4359999                      -3.7244895
               8.4399996                      -3.6189797
               8.4440002                      -3.5115454
                   8.448                      -3.4027863
               8.4519997                      -3.2932858
               8.4559994                      -3.1836085
                    8.46                      -3.0742936
               8.4639997                      -2.9658494
               8.4679995                      -2.8587615
               8.4720001                      -2.7534742
               8.4759998                      -2.6504061
               8.4799995                      -2.5499377
               8.4839993                      -2.4524233
               8.4879999                      -2.3581829
               8.4919996                      -2.2675061
               8.4959993                      -2.1806524
                8.499999                      -2.0978568
               8.5039997                      -2.0193233
               8.5080004                      -1.9452362
               8.5120001                      -1.8757571
               8.5159998                      -1.8110222
               8.5199995                      -1.7511486
               8.5240002                      -1.6962347
               8.5279999                      -1.6463627
               8.5319996                      -1.6016001
               8.5359993                      -1.5619911
                    8.54                      -1.5275716
               8.5439997                      -1.4983647
               8.5479994                      -1.4743732
                   8.552                      -1.4555918
               8.5559998                      -1.4420066
               8.5599995                      -1.4335814
               8.5639992                      -1.4302773
               8.5679998                      -1.4320372
               8.5719995                      -1.4387977
               8.5760002                      -1.4504809
               8.5799999                      -1.4669948
               8.5839996                      -1.4882388
               8.5880003                      -1.5140977
                   8.592                      -1.5444472
               8.5959997                      -1.5791439
               8.6000004                      -1.6180341
               8.6040001                      -1.6609521
               8.6079998                      -1.7077169
               8.6119995                       -1.758131
               8.6159992                       -1.811986
               8.6199999                      -1.8690513
               8.6239996                      -1.9290911
               8.6279993                      -1.9918485
                   8.632                      -2.0570521
               8.6359997                      -2.1244171
               8.6399994                      -2.1936426
               8.6439991                      -2.2644167
               8.6479988                      -2.3364158
               8.6520004                      -2.4093037
               8.6560001                      -2.4827361
