        Frequency                _d0=38.65_l=19.4_sh=26.65/real
----------------------------------------------------------------------
                       8                      -5.1653662
               8.0039997                      -5.1181507
               8.0079994                      -5.0714073
               8.0120001                      -5.0255799
               8.0159998                      -4.9810867
               8.0199995                      -4.9383097
               8.0240002                      -4.8975973
               8.0279999                      -4.8592668
               8.0319996                      -4.8235912
               8.0359993                      -4.7908154
                    8.04                      -4.7611475
               8.0439997                      -4.7347579
               8.0479994                      -4.7117839
               8.0519991                      -4.6923265
               8.0559998                      -4.6764588
               8.0600004                       -4.664217
               8.0640001                      -4.6556082
               8.0679998                      -4.6506033
               8.0719995                       -4.649148
               8.0760002                      -4.6511593
               8.0799999                      -4.6565185
               8.0839996                      -4.6650863
               8.0879993                      -4.6766906
                   8.092                      -4.6911349
               8.0959997                      -4.7081976
               8.0999994                      -4.7276297
               8.1040001                      -4.7491584
               8.1079998                      -4.7724953
               8.1119995                      -4.7973256
               8.1159992                       -4.823319
               8.1199999                      -4.8501296
               8.1239996                       -4.877399
               8.1279993                      -4.9047599
                   8.132                      -4.9318361
               8.1359997                      -4.9582548
               8.1400003                      -4.9836435
               8.1440001                      -5.0076337
               8.1479998                      -5.0298777
               8.1519995                      -5.0500345
               8.1560001                      -5.0677924
               8.1599998                      -5.0828686
               8.1639996                      -5.0950027
               8.1680002                      -5.1039848
               8.1719999                      -5.1096292
               8.1759996                      -5.1118064
               8.1799994                       -5.110425
                   8.184                      -5.1054382
               8.1879997                      -5.0968561
               8.1919994                      -5.0847249
               8.1959991                      -5.0691395
               8.1999998                      -5.0502372
               8.2040005                      -5.0281963
               8.2080002                      -5.0032277
               8.2119999                      -4.9755754
               8.2159996                      -4.9455094
               8.2200003                      -4.9133201
                   8.224                      -4.8793163
               8.2279997                       -4.843812
               8.2319994                      -4.8071365
               8.2360001                      -4.7696095
               8.2399998                      -4.7315564
               8.2439995                      -4.6932888
               8.2480001                      -4.6551113
               8.2519999                        -4.61731
               8.2559996                      -4.5801554
               8.2599993                      -4.5438991
               8.2639999                        -4.50877
               8.2679996                      -4.4749699
               8.2719994                      -4.4426813
               8.2759991                      -4.4120493
               8.2799997                      -4.3832064
               8.2840004                       -4.356246
               8.2880001                       -4.331234
               8.2919998                      -4.3082099
               8.2959995                      -4.2871833
               8.3000002                       -4.268136
               8.3039999                      -4.2510157
               8.3079996                      -4.2357435
               8.3119993                      -4.2222147
                   8.316                      -4.2102928
               8.3199997                      -4.1998177
               8.3239994                      -4.1905971
               8.3280001                      -4.1824193
               8.3319998                      -4.1750469
               8.3359995                      -4.1682158
               8.3399992                      -4.1616516
               8.3439999                      -4.1550531
               8.3479996                      -4.1481133
               8.3520002                      -4.1405029
               8.3559999                      -4.1318946
               8.3599997                       -4.121954
               8.3640003                      -4.1103444
                   8.368                      -4.0967402
               8.3719997                       -4.080821
               8.3759995                      -4.0622835
               8.3800001                       -4.040843
               8.3839998                      -4.0162425
               8.3879995                      -3.9882536
               8.3920002                      -3.9566822
               8.3959999                      -3.9213717
               8.3999996                      -3.8822052
               8.4039993                      -3.8391128
                   8.408                      -3.7920718
               8.4119997                       -3.741096
               8.4159994                      -3.6862528
               8.4199991                      -3.6276555
               8.4239998                       -3.565454
               8.4280005                      -3.4998429
               8.4320002                      -3.4310513
               8.4359999                      -3.3593462
               8.4399996                      -3.2850149
               8.4440002                      -3.2083769
                   8.448                       -3.129766
               8.4519997                      -3.0495331
               8.4559994                      -2.9680393
                    8.46                      -2.8856487
               8.4639997                      -2.8027322
               8.4679995                      -2.7196553
               8.4720001                      -2.6367807
               8.4759998                       -2.554462
               8.4799995                      -2.4730422
               8.4839993                       -2.392853
               8.4879999                      -2.3142104
               8.4919996                      -2.2374201
               8.4959993                      -2.1627636
                8.499999                      -2.0905135
               8.5039997                      -2.0209205
               8.5080004                      -1.9542203
               8.5120001                      -1.8906312
               8.5159998                      -1.8303519
               8.5199995                       -1.773567
               8.5240002                       -1.720445
               8.5279999                       -1.671134
               8.5319996                      -1.6257725
               8.5359993                      -1.5844808
                    8.54                      -1.5473645
               8.5439997                      -1.5145144
               8.5479994                       -1.486008
                   8.552                      -1.4619129
               8.5559998                      -1.4422774
               8.5599995                      -1.4271429
               8.5639992                      -1.4165361
               8.5679998                      -1.4104689
               8.5719995                      -1.4089435
               8.5760002                      -1.4119519
               8.5799999                      -1.4194709
               8.5839996                      -1.4314671
               8.5880003                      -1.4478928
