        Frequency                _d0=38.65_l=19.4_sh=26.65/real
               8.8519993                      -5.0130801
               8.8559999                      -5.0860434
               8.8599997                      -5.1589661
               8.8639994                      -5.2315969
               8.8679991                      -5.3036804
               8.8719988                      -5.3749542
               8.8760004                      -5.4451585
               8.8800001                      -5.5140419
               8.8839998                      -5.5813556
               8.8880005                      -5.6468701
               8.8920002                      -5.7103643
               8.8959999                      -5.7716455
               8.8999996                      -5.8305387
               8.9039993                      -5.8868971
                   8.908                       -5.940609
               8.9119997                      -5.9915943
               8.9159994                      -6.0398045
               8.9200001                      -6.0852361
               8.9239998                      -6.1279206
               8.9279995                      -6.1679296
               8.9319992                      -6.2053747
               8.9359989                       -6.240406
               8.9399996                      -6.2732081
               8.9439993                      -6.3040018
                   8.948                      -6.3330436
               8.9520006                      -6.3606124
               8.9560003                      -6.3870192
                    8.96                      -6.4125924
               8.9639997                       -6.437686
               8.9679995                      -6.4626598
               8.9720001                      -6.4878922
               8.9759998                      -6.5137677
               8.9799995                      -6.5406756
               8.9840002                      -6.5690045
               8.9879999                      -6.5991468
               8.9919996                      -6.6314869
               8.9959993                      -6.6664052
                8.999999                       -6.704277
               9.0039997                      -6.7454629
               9.0079994                      -6.7903185
               9.0119991                      -6.8391857
               9.0159998                      -6.8923922
               9.0200005                       -6.950254
               9.0240002                      -7.0130754
               9.0279999                      -7.0811386
               9.0319996                      -7.1547184
               9.0360003                       -7.234067
                    9.04                      -7.3194242
               9.0439997                      -7.4110088
               9.0480003                      -7.5090218
                   9.052                      -7.6136441
               9.0559998                      -7.7250328
               9.0599995                      -7.8433199
               9.0639992                      -7.9686136
               9.0679998                      -8.1009874
               9.0719995                      -8.2404814
               9.0759993                      -8.3871002
               9.0799999                      -8.5407963
               9.0839996                       -8.701479
               9.0879993                       -8.868989
               9.0919991                      -9.0431061
               9.0959988                      -9.2235289
               9.1000004                      -9.4098625
               9.1040001                      -9.6016121
               9.1079998                      -9.7981644
               9.1120005                      -9.9987764
               9.1160002                       -10.20255
               9.1199999                      -10.408434
               9.1239996                      -10.615194
               9.1279993                      -10.821413
                   9.132                      -11.025484
               9.1359997                      -11.225606
               9.1399994                      -11.419807
               9.1440001                      -11.605963
               9.1479998                      -11.781827
               9.1519995                       -11.94511
               9.1559992                      -12.093534
               9.1599989                      -12.224927
               9.1639996                      -12.337323
               9.1679993                      -12.429057
               9.1719999                      -12.498869
               9.1760006                      -12.545968
               9.1800003                      -12.570104
                   9.184                      -12.571566
               9.1879997                      -12.551186
               9.1919994                      -12.510284
               9.1960001                      -12.450589
               9.1999998                      -12.374157
               9.2039995                      -12.283262
               9.2080002                      -12.180304
               9.2119999                      -12.067714
               9.2159996                       -11.94788
               9.2199993                      -11.823097
                9.223999                      -11.695513
               9.2279997                      -11.567111
               9.2319994                      -11.439691
               9.2359991                      -11.314875
               9.2400007                        -11.1941
               9.2440004                      -11.078644
               9.2480001                      -10.969624
               9.2519999                      -10.868024
               9.2559996                      -10.774706
               9.2600002                      -10.690428
               9.2639999                       -10.61586
               9.2679996                      -10.551597
               9.2720003                      -10.498171
                   9.276                      -10.456072
               9.2799997                      -10.425751
               9.2839994                      -10.407633
               9.2879992                      -10.402125
               9.2919998                      -10.409633
               9.2959995                      -10.430557
               9.2999992                      -10.465313
               9.3039999                      -10.514326
               9.3079996                      -10.578052
               9.3119993                      -10.656977
                9.315999                      -10.751628
               9.3199997                       -10.86258
               9.3240004                      -10.990472
               9.3280001                      -11.136007
               9.3319998                      -11.299978
               9.3360004                       -11.48327
               9.3400002                       -11.68688
               9.3439999                      -11.911949
               9.3479996                      -12.159768
               9.3519993                      -12.431822
               9.3559999                      -12.729818
               9.3599997                      -13.055742
               9.3639994                      -13.411903
                   9.368                      -13.801021
               9.3719997                      -14.226315
               9.3759995                      -14.691635
               9.3799992                      -15.201634
               9.3839989                      -15.761995
               9.3879995                      -16.379755
               9.3920002                      -17.063768
               9.3959999                      -17.825361
               9.4000006                      -18.679337
               9.4040003                        -19.6455
                   9.408                      -20.751133
               9.4119997                      -22.035069
               9.4159994                      -23.554794
               9.4200001                      -25.398939
               9.4239998                      -27.707712
               9.4279995                      -30.682486
               9.4320002                      -34.288483
               9.4359999                       -35.91431
               9.4399996                      -32.923901
               9.4439993                      -29.446957
                9.447999                      -26.711206
               9.4519997                       -24.56402
               9.4559994                      -22.822809
               9.4599991                      -21.368931
               9.4640007                       -20.12702
               9.4680004                      -19.047476
               9.4720001                      -18.096283
               9.4759998                      -17.249239
               9.4799995                      -16.488573
               9.4840002                      -15.800887
               9.4879999                      -15.175838
               9.4919996                      -14.605288
               9.4960003                      -14.082726
                     9.5                      -13.602867
               9.5039997                      -13.161371
               9.5079994                      -12.754622
               9.5119991                      -12.379595
               9.5159998                      -12.033724
               9.5199995                       -11.71482
               9.5239992                      -11.421005
               9.5279999                      -11.150661
               9.5319996                      -10.902376
               9.5359993                      -10.674926
                9.539999                      -10.467235
               9.5439997                      -10.278363
               9.5480003                      -10.107477
                   9.552                      -9.9538412
               9.5559998                      -9.8168106
               9.5600004                      -9.6958065
               9.5640001                      -9.5903168
               9.5679998                      -9.4998875
               9.5719995                      -9.4241133
               9.5759993                      -9.3626299
               9.5799999                      -9.3151112
               9.5839996                      -9.2812691
               9.5879993                      -9.2608347
                   9.592                      -9.2535696
               9.5959997                      -9.2592468
               9.5999994                      -9.2776613
               9.6039991                        -9.30861
               9.6079988                      -9.3518963
               9.6119995                       -9.407321
               9.6160002                      -9.4746742
               9.6199999                      -9.5537338
               9.6240005                      -9.6442509
               9.6280003                      -9.7459431
                   9.632                      -9.8584814
               9.6359997                      -9.9814777
               9.6399994                      -10.114474
               9.6440001                      -10.256916
               9.6479998                      -10.408143
               9.6519995                      -10.567359
               9.6560001                      -10.733604
               9.6599998                      -10.905742
               9.6639996                      -11.082417
               9.6679993                      -11.262037
                9.671999                      -11.442737
               9.6759996                      -11.622366
               9.6799994                      -11.798481
               9.6839991                      -11.968341
               9.6880007                      -12.128941
               9.6920004                      -12.277061
               9.6960001                      -12.409354
               9.6999998                      -12.522459
               9.7039995                      -12.613153
               9.7080002                      -12.678519
               9.7119999                      -12.716139
               9.7159996                      -12.724234
               9.7200003                      -12.701818
                   9.724                       -12.64876
               9.7279997                      -12.565795
               9.7319994                      -12.454461
               9.7359991                      -12.316984
               9.7399998                      -12.156114
               9.7439995                      -11.974945
               9.7479992                      -11.776751
               9.7519999                      -11.564814
               9.7559996                      -11.342316
               9.7599993                      -11.112232
               9.7639999                      -10.877281
               9.7679996                      -10.639888
               9.7720003                       -10.40218
                   9.776                      -10.165982
               9.7799997                      -9.9328537
               9.7840004                      -9.7040958
               9.7880001                      -9.4807892
               9.7919998                      -9.2638102
               9.7959995                      -9.0538702
               9.7999992                      -8.8515339
               9.8039999                       -8.657239
               9.8079996                      -8.4713259
               9.8119993                      -8.2940426
                   9.816                      -8.1255693
               9.8199997                      -7.9660215
               9.8239994                      -7.8154702
               9.8279991                       -7.673945
               9.8319988                      -7.5414395
               9.8360004                      -7.4179249
               9.8400002                      -7.3033466
               9.8439999                      -7.1976323
               9.8480005                      -7.1006923
               9.8520002                      -7.0124297
               9.8559999                      -6.9327316
               9.8599997                      -6.8614745
               9.8639994                      -6.7985291
                   9.868                      -6.7437563
               9.8719997                      -6.6970086
               9.8759995                      -6.6581297
               9.8800001                       -6.626955
               9.8839998                      -6.6033101
               9.8879995                      -6.5870099
               9.8919992                       -6.577858
                9.895999                      -6.5756459
               9.8999996                      -6.5801477
               9.9039993                      -6.5911274
                9.907999                      -6.6083245
               9.9120007                      -6.6314654
               9.9160004                      -6.6602478
               9.9200001                      -6.6943521
               9.9239998                       -6.733427
               9.9279995                      -6.7770996
               9.9320002                      -6.8249588
               9.9359999                      -6.8765659
               9.9399996                      -6.9314456
               9.9440002                      -6.9890919
                   9.948                      -7.0489569
               9.9519997                      -7.1104593
               9.9559994                      -7.1729794
               9.9599991                      -7.2358656
               9.9639997                      -7.2984333
               9.9679995                      -7.3599672
               9.9719992                      -7.4197335
               9.9759998                      -7.4769821
               9.9799995                      -7.5309515
               9.9839993                      -7.5808868
               9.9879999                       -7.626049
               9.9919996                       -7.665719
               9.9960003                      -7.6992264
                      10                      -7.7259502
                  10.004                      -7.7453427
                  10.008                      -7.7569304
                  10.012                      -7.7603369
                  10.016                      -7.7552896
                   10.02                       -7.741621
               10.023999                      -7.7192807
                  10.028                      -7.6883307
                  10.032                      -7.6489429
               10.035999                       -7.601397
                   10.04                      -7.5460663
                  10.044                      -7.4834146
               10.047999                      -7.4139781
               10.051999                      -7.3383484
               10.055999                      -7.2571712
                   10.06                      -7.1711164
                  10.064                      -7.0808773
                  10.068                      -6.9871521
               10.072001                      -6.8906345
                  10.076                      -6.7920046
                   10.08                      -6.6919212
                  10.084                      -6.5910168
               10.087999                      -6.4898882
                  10.092                      -6.3890977
                  10.096                      -6.2891698
               10.099999                      -6.1905913
                  10.104                      -6.0938053
                  10.108                      -5.9992208
                  10.112                      -5.9072061
               10.115999                      -5.8180914
               10.119999                      -5.7321768
                  10.124                      -5.6497221
               10.127999                       -5.570961
               10.131999                       -5.496099
               10.136001                      -5.4253063
                   10.14                      -5.3587394
                  10.144                      -5.2965188
                  10.148                        -5.23875
               10.151999                      -5.1855173
                  10.156                      -5.1368828
                   10.16                      -5.0928931
                  10.164                      -5.0535779
                  10.168                      -5.0189486
                  10.172                      -4.9890022
                  10.176                      -4.9637218
               10.179999                       -4.943078
               10.183999                       -4.927022
                  10.188                      -4.9154978
               10.191999                       -4.908432
               10.195999                      -4.9057407
                    10.2                      -4.9073215
                  10.204                      -4.9130669
                  10.208                      -4.9228506
                  10.212                      -4.9365311
                  10.216                      -4.9539533
                   10.22                      -4.9749513
                  10.224                      -4.9993415
                  10.228                      -5.0269246
                  10.232                      -5.0574875
                  10.236                      -5.0907969
                   10.24                      -5.1266108
               10.243999                      -5.1646633
               10.247999                      -5.2046795
                  10.252                      -5.2463603
                  10.256                      -5.2894011
               10.259999                      -5.3334742
                  10.264                      -5.3782406
                  10.268                      -5.4233479
               10.271999                      -5.4684362
               10.275999                      -5.5131335
               10.279999                      -5.5570593
                  10.284                      -5.5998316
                  10.288                      -5.6410685
                  10.292                      -5.6803875
                  10.296                      -5.7174153
                    10.3                      -5.7517886
                  10.304                      -5.7831573
                  10.308                      -5.8111944
               10.311999                      -5.8355932
                  10.316                      -5.8560762
                   10.32                      -5.8724041
               10.323999                      -5.8843622
                  10.328                      -5.8917861
                  10.332                      -5.8945494
               10.335999                        -5.89257
               10.339999                      -5.8858109
               10.343999                      -5.8742828
                  10.348                      -5.8580394
               10.351999                      -5.8371778
               10.355999                       -5.811842
               10.360001                      -5.7822094
                  10.364                      -5.7484937
                  10.368                      -5.7109447
                  10.372                      -5.6698341
               10.375999                      -5.6254625
                   10.38                      -5.5781412
                  10.384                      -5.5282073
                  10.388                      -5.4759974
                  10.392                      -5.4218569
                  10.396                      -5.3661342
                    10.4                      -5.3091745
               10.403999                      -5.2513199
               10.407999                      -5.1929021
