        Frequency                _d0=25.14_l=14.12_sh=22.66/real
----------------------------------------------------------------------
                       8                      -4.4976983
               8.0039997                      -4.5517244
               8.0079994                      -4.6059761
               8.0120001                      -4.6601043
               8.0159998                      -4.7137222
               8.0199995                      -4.7664156
               8.0240002                      -4.8177366
               8.0279999                      -4.8672109
               8.0319996                      -4.9143381
               8.0359993                      -4.9585977
                    8.04                       -4.999455
               8.0439997                       -5.036366
               8.0479994                       -5.068789
               8.0519991                      -5.0961924
               8.0559998                       -5.118062
               8.0600004                      -5.1339154
               8.0640001                      -5.1433139
               8.0679998                      -5.1458716
               8.0719995                       -5.141264
               8.0760002                      -5.1292448
               8.0799999                      -5.1096463
               8.0839996                      -5.0823898
               8.0879993                      -5.0474877
                   8.092                      -5.0050473
               8.0959997                      -4.9552684
               8.0999994                       -4.898437
               8.1040001                      -4.8349271
               8.1079998                      -4.7651844
               8.1119995                      -4.6897197
               8.1159992                      -4.6091022
               8.1199999                      -4.5239439
               8.1239996                      -4.4348912
               8.1279993                      -4.3426075
                   8.132                      -4.2477732
               8.1359997                      -4.1510696
               8.1400003                      -4.0531683
               8.1440001                      -3.9547303
               8.1479998                      -3.8563945
               8.1519995                       -3.758775
               8.1560001                      -3.6624579
               8.1599998                      -3.5679986
               8.1639996                      -3.4759178
               8.1680002                      -3.3867052
               8.1719999                      -3.3008134
               8.1759996                      -3.2186615
               8.1799994                      -3.1406381
                   8.184                      -3.0670972
               8.1879997                      -2.9983652
               8.1919994                      -2.9347386
               8.1959991                      -2.8764844
               8.1999998                      -2.8238466
               8.2040005                      -2.7770433
               8.2080002                      -2.7362733
               8.2119999                      -2.7017102
               8.2159996                       -2.673512
               8.2200003                      -2.6518152
                   8.224                      -2.6367428
               8.2279997                      -2.6283979
               8.2319994                      -2.6268735
               8.2360001                      -2.6322422
               8.2399998                      -2.6445684
               8.2439995                       -2.663898
               8.2480001                      -2.6902695
               8.2519999                      -2.7237031
               8.2559996                      -2.7642102
               8.2599993                      -2.8117828
               8.2639999                      -2.8664088
               8.2679996                      -2.9280519
               8.2719994                      -2.9966631
               8.2759991                      -3.0721817
               8.2799997                      -3.1545224
               8.2840004                       -3.243587
               8.2880001                      -3.3392477
               8.2919998                      -3.4413614
               8.2959995                      -3.5497527
               8.3000002                      -3.6642239
               8.3039999                      -3.7845416
               8.3079996                      -3.9104393
               8.3119993                      -4.0416098
                   8.316                      -4.1777058
               8.3199997                      -4.3183336
               8.3239994                      -4.4630489
               8.3280001                      -4.6113539
               8.3319998                       -4.762691
               8.3359995                        -4.91644
               8.3399992                      -5.0719194
               8.3439999                      -5.2283759
               8.3479996                      -5.3849897
               8.3520002                       -5.540874
               8.3559999                      -5.6950741
               8.3599997                      -5.8465791
               8.3640003                      -5.9943171
                   8.368                      -6.1371851
               8.3719997                      -6.2740445
               8.3759995                      -6.4037495
               8.3800001                      -6.5251703
               8.3839998                      -6.6372066
               8.3879995                      -6.7388272
               8.3920002                       -6.829083
               8.3959999                      -6.9071522
               8.3999996                      -6.9723463
               8.4039993                      -7.0241451
                   8.408                      -7.0622067
               8.4119997                       -7.086381
               8.4159994                      -7.0967083
               8.4199991                      -7.0934191
               8.4239998                      -7.0769238
               8.4280005                      -7.0477896
               8.4320002                      -7.0067282
               8.4359999                      -6.9545603
               8.4399996                      -6.8921967
               8.4440002                       -6.820611
                   8.448                      -6.7408085
               8.4519997                      -6.6538105
               8.4559994                      -6.5606284
                    8.46                       -6.462254
               8.4639997                      -6.3596387
               8.4679995                      -6.2536902
               8.4720001                      -6.1452632
               8.4759998                      -6.0351543
               8.4799995                      -5.9241037
               8.4839993                      -5.8127933
               8.4879999                      -5.7018495
               8.4919996                      -5.5918465
               8.4959993                       -5.483305
                8.499999                      -5.3767056
               8.5039997                      -5.2724867
               8.5080004                      -5.1710439
               8.5120001                      -5.0727458
               8.5159998                      -4.9779296
               8.5199995                      -4.8869081
               8.5240002                       -4.799974
               8.5279999                      -4.7173982
               8.5319996                      -4.6394415
               8.5359993                      -4.5663443
                    8.54                      -4.4983439
               8.5439997                      -4.4356675
               8.5479994                      -4.3785357
                   8.552                      -4.3271646
               8.5559998                      -4.2817655
               8.5599995                      -4.2425528
               8.5639992                       -4.209734
               8.5679998                      -4.1835232
               8.5719995                      -4.1641326
               8.5760002                      -4.1517777
               8.5799999                      -4.1466732
               8.5839996                      -4.1490469
               8.5880003                       -4.159122
                   8.592                      -4.1771283
               8.5959997                      -4.2033033
               8.6000004                      -4.2378898
               8.6040001                      -4.2811356
               8.6079998                      -4.3332963
               8.6119995                      -4.3946309
               8.6159992                      -4.4654126
               8.6199999                       -4.545917
               8.6239996                      -4.6364231
               8.6279993                      -4.7372208
                   8.632                       -4.848608
               8.6359997                      -4.9708805
               8.6399994                      -5.1043439
               8.6439991                      -5.2492981
               8.6479988                      -5.4060454
               8.6520004                      -5.5748792
               8.6560001                      -5.7560825
               8.6599998                       -5.949913
               8.6640005                      -6.1566019
               8.6680002                      -6.3763323
               8.6719999                      -6.6092277
               8.6759996                      -6.8553228
               8.6799994                      -7.1145391
                   8.684                      -7.3866425
               8.6879997                      -7.6711893
               8.6919994                      -7.9674792
               8.6960001                      -8.2744598
               8.6999998                      -8.5906429
               8.7039995                      -8.9139996
               8.7079992                      -9.2418146
               8.7119989                      -9.5705709
               8.7159996                      -9.8958101
               8.7199993                      -10.212042
                8.723999                      -10.512704
               8.7280006                      -10.790254
               8.7320004                      -11.036423
               8.7360001                      -11.242677
               8.7399998                      -11.400915
               8.7439995                      -11.504286
               8.7480001                      -11.548021
               8.7519999                      -11.530118
               8.7559996                      -11.451617
               8.7600002                      -11.316457
               8.7639999                      -11.130924
               8.7679996                      -10.902854
               8.7719994                      -10.640773
               8.7759991                      -10.353156
               8.7799997                      -10.047885
               8.7839994                      -9.7319241
               8.7879992                      -9.4111786
               8.7919998                      -9.0904961
               8.7960005                      -8.7737474
               8.8000002                      -8.4639463
               8.8039999                      -8.1633768
               8.8079996                      -7.8737354
               8.8120003                      -7.5962353
                   8.816                      -7.3317156
               8.8199997                      -7.0807152
               8.8240004                      -6.8435411
               8.8280001                      -6.6203203
               8.8319998                      -6.4110451
               8.8359995                         -6.2156
               8.8399992                      -6.0337834
               8.8439999                      -5.8653302
               8.8479996                      -5.7099237
               8.8519993                      -5.5672035
               8.8559999                      -5.4367733
               8.8599997                      -5.3182006
               8.8639994                      -5.2110252
               8.8679991                      -5.1147556
               8.8719988                      -5.0288658
               8.8760004                      -4.9528022
               8.8800001                      -4.8859706
               8.8839998                       -4.827744
               8.8880005                      -4.7774506
               8.8920002                      -4.7343831
               8.8959999                      -4.6977754
               8.8999996                      -4.6668272
               8.9039993                      -4.6406813
                   8.908                      -4.6184392
               8.9119997                      -4.5991521
               8.9159994                      -4.5818281
               8.9200001                      -4.5654464
               8.9239998                      -4.5489488
               8.9279995                      -4.5312672
               8.9319992                       -4.511332
               8.9359989                      -4.4880881
               8.9399996                      -4.4605145
               8.9439993                      -4.4276462
                   8.948                      -4.3885984
               8.9520006                      -4.3425846
               8.9560003                      -4.2889433
                    8.96                      -4.2271509
               8.9639997                      -4.1568418
               8.9679995                       -4.077816
               8.9720001                      -3.9900401
               8.9759998                      -3.8936563
               8.9799995                      -3.7889698
               8.9840002                      -3.6764302
               8.9879999                      -3.5566325
               8.9919996                      -3.4302773
               8.9959993                      -3.2981634
                8.999999                      -3.1611576
               9.0039997                      -3.0201759
               9.0079994                      -2.8761613
               9.0119991                      -2.7300646
               9.0159998                      -2.5828278
               9.0200005                      -2.4353652
               9.0240002                      -2.2885675
               9.0279999                      -2.1432757
               9.0319996                      -2.0002851
               9.0360003                      -1.8603433
                    9.04                      -1.7241409
               9.0439997                      -1.5923197
               9.0480003                      -1.4654661
                   9.052                      -1.3441231
               9.0559998                      -1.2287846
               9.0599995                       -1.119899
               9.0639992                       -1.017881
               9.0679998                     -0.92310756
               9.0719995                     -0.83592176
               9.0759993                     -0.75664312
               9.0799999                     -0.68556362
               9.0839996                     -0.62295574
               9.0879993                     -0.56907642
               9.0919991                      -0.5241648
