        Frequency / GHz                S2,1/abs,dB
                  8.0296                      -88.814816
                  8.0308                      -88.790817
                   8.032                      -88.766806
                  8.0332                      -88.742785
                  8.0344                      -88.718753
                  8.0356                       -88.69471
                  8.0368                      -88.670656
                   8.038                      -88.646592
                  8.0392                      -88.622516
                  8.0404                      -88.598429
                  8.0416                      -88.574331
                  8.0428                      -88.550223
                   8.044                      -88.526103
                  8.0452                      -88.501972
                  8.0464                       -88.47783
                  8.0476                      -88.453677
                  8.0488                      -88.429513
                    8.05                      -88.405337
                  8.0512                       -88.38115
                  8.0524                      -88.356953
                  8.0536                      -88.332743
                  8.0548                      -88.308523
                   8.056                      -88.284291
                  8.0572                      -88.260048
                  8.0584                      -88.235794
                  8.0596                      -88.211528
                  8.0608                      -88.187251
                   8.062                      -88.162962
                  8.0632                      -88.138662
                  8.0644                      -88.114351
                  8.0656                      -88.090028
                  8.0668                      -88.065693
                   8.068                      -88.041347
                  8.0692                       -88.01699
                  8.0704                       -87.99262
                  8.0716                      -87.968239
                  8.0728                      -87.943847
                   8.074                      -87.919442
                  8.0752                      -87.895026
                  8.0764                      -87.870599
                  8.0776                      -87.846159
                  8.0788                      -87.821708
                    8.08                      -87.797245
                  8.0812                       -87.77277
                  8.0824                      -87.748283
                  8.0836                      -87.723785
                  8.0848                      -87.699274
                   8.086                      -87.674751
                  8.0872                      -87.650217
                  8.0884                       -87.62567
                  8.0896                      -87.601112
                  8.0908                      -87.576541
                   8.092                      -87.551958
                  8.0932                      -87.527364
                  8.0944                      -87.502757
                  8.0956                      -87.478138
                  8.0968                      -87.453506
                   8.098                      -87.428863
                  8.0992                      -87.404207
                  8.1004                      -87.379539
                  8.1016                      -87.354859
                  8.1028                      -87.330166
                   8.104                      -87.305462
                  8.1052                      -87.280744
                  8.1064                      -87.256014
                  8.1076                      -87.231272
                  8.1088                      -87.206518
                    8.11                      -87.181751
                  8.1112                      -87.156971
                  8.1124                      -87.132179
                  8.1136                      -87.107374
                  8.1148                      -87.082557
                   8.116                      -87.057727
                  8.1172                      -87.032885
                  8.1184                      -87.008029
                  8.1196                      -86.983161
                  8.1208                      -86.958281
                   8.122                      -86.933387
                  8.1232                      -86.908481
                  8.1244                      -86.883562
                  8.1256                       -86.85863
                  8.1268                      -86.833686
                   8.128                      -86.808728
                  8.1292                      -86.783757
                  8.1304                      -86.758774
                  8.1316                      -86.733777
                  8.1328                      -86.708768
                   8.134                      -86.683745
                  8.1352                       -86.65871
                  8.1364                      -86.633661
                  8.1376                      -86.608599
                  8.1388                      -86.583524
                    8.14                      -86.558436
                  8.1412                      -86.533335
                  8.1424                       -86.50822
                  8.1436                      -86.483092
                  8.1448                      -86.457951
                   8.146                      -86.432796
                  8.1472                      -86.407628
                  8.1484                      -86.382447
                  8.1496                      -86.357252
                  8.1508                      -86.332044
                   8.152                      -86.306823
                  8.1532                      -86.281588
                  8.1544                      -86.256339
                  8.1556                      -86.231077
                  8.1568                      -86.205801
                   8.158                      -86.180511
                  8.1592                      -86.155208
                  8.1604                      -86.129892
                  8.1616                      -86.104561
                  8.1628                      -86.079217
                   8.164                      -86.053859
                  8.1652                      -86.028487
                  8.1664                      -86.003102
                  8.1676                      -85.977702
                  8.1688                      -85.952289
                    8.17                      -85.926861
                  8.1712                       -85.90142
                  8.1724                      -85.875965
                  8.1736                      -85.850496
                  8.1748                      -85.825012
                   8.176                      -85.799515
                  8.1772                      -85.774004
                  8.1784                      -85.748478
                  8.1796                      -85.722938
                  8.1808                      -85.697384
                   8.182                      -85.671816
                  8.1832                      -85.646234
                  8.1844                      -85.620637
                  8.1856                      -85.595026
                  8.1868                        -85.5694
                   8.188                      -85.543761
                  8.1892                      -85.518106
                  8.1904                      -85.492438
                  8.1916                      -85.466755
                  8.1928                      -85.441057
                   8.194                      -85.415345
                  8.1952                      -85.389618
                  8.1964                      -85.363877
                  8.1976                      -85.338121
                  8.1988                       -85.31235
                     8.2                      -85.286565
                  8.2012                      -85.260764
                  8.2024                       -85.23495
                  8.2036                       -85.20912
                  8.2048                      -85.183275
                   8.206                      -85.157416
                  8.2072                      -85.131542
                  8.2084                      -85.105653
                  8.2096                      -85.079748
                  8.2108                      -85.053829
                   8.212                      -85.027895
                  8.2132                      -85.001946
                  8.2144                      -84.975981
                  8.2156                      -84.950002
                  8.2168                      -84.924007
                   8.218                      -84.897998
                  8.2192                      -84.871973
                  8.2204                      -84.845932
                  8.2216                      -84.819877
                  8.2228                      -84.793806
                   8.224                       -84.76772
                  8.2252                      -84.741618
                  8.2264                      -84.715501
                  8.2276                      -84.689368
                  8.2288                       -84.66322
                    8.23                      -84.637057
                  8.2312                      -84.610878
                  8.2324                      -84.584683
                  8.2336                      -84.558473
                  8.2348                      -84.532247
                   8.236                      -84.506005
                  8.2372                      -84.479748
                  8.2384                      -84.453474
                  8.2396                      -84.427185
                  8.2408                      -84.400881
                   8.242                       -84.37456
                  8.2432                      -84.348223
                  8.2444                      -84.321871
                  8.2456                      -84.295502
                  8.2468                      -84.269118
                   8.248                      -84.242717
                  8.2492                        -84.2163
                  8.2504                      -84.189868
                  8.2516                      -84.163419
                  8.2528                      -84.136954
                   8.254                      -84.110472
                  8.2552                      -84.083975
                  8.2564                      -84.057461
                  8.2576                       -84.03093
                  8.2588                      -84.004384
                    8.26                      -83.977821
                  8.2612                      -83.951241
                  8.2624                      -83.924645
                  8.2636                      -83.898033
                  8.2648                      -83.871404
                   8.266                      -83.844758
                  8.2672                      -83.818096
                  8.2684                      -83.791417
                  8.2696                      -83.764722
                  8.2708                       -83.73801
                   8.272                      -83.711281
                  8.2732                      -83.684535
                  8.2744                      -83.657772
                  8.2756                      -83.630992
                  8.2768                      -83.604196
                   8.278                      -83.577382
                  8.2792                      -83.550552
                  8.2804                      -83.523705
                  8.2816                       -83.49684
                  8.2828                      -83.469958
                   8.284                      -83.443059
                  8.2852                      -83.416143
                  8.2864                       -83.38921
                  8.2876                       -83.36226
                  8.2888                      -83.335292
                    8.29                      -83.308307
                  8.2912                      -83.281304
                  8.2924                      -83.254284
                  8.2936                      -83.227247
                  8.2948                      -83.200192
                   8.296                       -83.17312
                  8.2972                       -83.14603
                  8.2984                      -83.118922
                  8.2996                      -83.091797
                  8.3008                      -83.064654
                   8.302                      -83.037494
                  8.3032                      -83.010315
                  8.3044                      -82.983119
                  8.3056                      -82.955905
                  8.3068                      -82.928673
                   8.308                      -82.901423
                  8.3092                      -82.874155
                  8.3104                      -82.846869
                  8.3116                      -82.819565
                  8.3128                      -82.792243
                   8.314                      -82.764903
                  8.3152                      -82.737545
                  8.3164                      -82.710168
                  8.3176                      -82.682774
                  8.3188                      -82.655361
                    8.32                      -82.627929
                  8.3212                      -82.600479
                  8.3224                      -82.573011
                  8.3236                      -82.545525
                  8.3248                      -82.518019
                   8.326                      -82.490496
                  8.3272                      -82.462953
                  8.3284                      -82.435393
                  8.3296                      -82.407813
                  8.3308                      -82.380215
                   8.332                      -82.352598
                  8.3332                      -82.324962
                  8.3344                      -82.297307
                  8.3356                      -82.269633
                  8.3368                      -82.241941
                   8.338                      -82.214229
                  8.3392                      -82.186499
                  8.3404                      -82.158749
                  8.3416                      -82.130981
                  8.3428                      -82.103193
                   8.344                      -82.075386
                  8.3452                       -82.04756
                  8.3464                      -82.019714
                  8.3476                       -81.99185
                  8.3488                      -81.963966
                    8.35                      -81.936062
                  8.3512                      -81.908139
                  8.3524                      -81.880197
                  8.3536                      -81.852235
                  8.3548                      -81.824253
                   8.356                      -81.796252
                  8.3572                      -81.768231
                  8.3584                       -81.74019
                  8.3596                       -81.71213
                  8.3608                       -81.68405
                   8.362                      -81.655949
                  8.3632                       -81.62783
                  8.3644                       -81.59969
                  8.3656                       -81.57153
                  8.3668                       -81.54335
                   8.368                       -81.51515
                  8.3692                       -81.48693
                  8.3704                      -81.458689
                  8.3716                      -81.430429
                  8.3728                      -81.402148
                   8.374                      -81.373847
                  8.3752                      -81.345525
                  8.3764                      -81.317183
                  8.3776                      -81.288821
                  8.3788                      -81.260438
                    8.38                      -81.232035
                  8.3812                      -81.203611
                  8.3824                      -81.175166
                  8.3836                      -81.146701
                  8.3848                      -81.118214
                   8.386                      -81.089708
                  8.3872                       -81.06118
                  8.3884                      -81.032631
                  8.3896                      -81.004061
                  8.3908                      -80.975471
                   8.392                      -80.946859
                  8.3932                      -80.918227
                  8.3944                      -80.889573
                  8.3956                      -80.860898
                  8.3968                      -80.832201
                   8.398                      -80.803484
                  8.3992                      -80.774745
                  8.4004                      -80.745985
                  8.4016                      -80.717203
                  8.4028                        -80.6884
                   8.404                      -80.659575
                  8.4052                      -80.630729
                  8.4064                      -80.601861
                  8.4076                      -80.572971
                  8.4088                       -80.54406
                    8.41                      -80.515126
                  8.4112                      -80.486171
                  8.4124                      -80.457195
                  8.4136                      -80.428196
                  8.4148                      -80.399175
                   8.416                      -80.370132
                  8.4172                      -80.341067
                  8.4184                       -80.31198
                  8.4196                       -80.28287
                  8.4208                      -80.253739
                   8.422                      -80.224585
                  8.4232                      -80.195408
                  8.4244                      -80.166209
                  8.4256                      -80.136988
                  8.4268                      -80.107744
                   8.428                      -80.078478
                  8.4292                      -80.049189
                  8.4304                      -80.019877
                  8.4316                      -79.990543
                  8.4328                      -79.961186
                   8.434                      -79.931806
                  8.4352                      -79.902403
                  8.4364                      -79.872977
                  8.4376                      -79.843528
                  8.4388                      -79.814056
                    8.44                      -79.784561
                  8.4412                      -79.755042
                  8.4424                      -79.725501
                  8.4436                      -79.695936
                  8.4448                      -79.666347
                   8.446                      -79.636736
                  8.4472                      -79.607101
                  8.4484                      -79.577442
                  8.4496                       -79.54776
                  8.4508                      -79.518054
                   8.452                      -79.488324
                  8.4532                      -79.458571
                  8.4544                      -79.428794
                  8.4556                      -79.398993
                  8.4568                      -79.369168
                   8.458                      -79.339319
                  8.4592                      -79.309446
                  8.4604                      -79.279549
                  8.4616                      -79.249627
                  8.4628                      -79.219682
                   8.464                      -79.189712
                  8.4652                      -79.159718
                  8.4664                      -79.129699
                  8.4676                      -79.099657
                  8.4688                      -79.069589
                    8.47                      -79.039497
                  8.4712                       -79.00938
                  8.4724                      -78.979239
                  8.4736                      -78.949073
                  8.4748                      -78.918882
                   8.476                      -78.888666
                  8.4772                      -78.858425
                  8.4784                      -78.828159
                  8.4796                      -78.797868
                  8.4808                      -78.767552
                   8.482                      -78.737211
                  8.4832                      -78.706844
                  8.4844                      -78.676452
                  8.4856                      -78.646035
                  8.4868                      -78.615593
                   8.488                      -78.585124
                  8.4892                      -78.554631
                  8.4904                      -78.524111
                  8.4916                      -78.493566
                  8.4928                      -78.462995
                   8.494                      -78.432398
                  8.4952                      -78.401776
                  8.4964                      -78.371127
                  8.4976                      -78.340453
                  8.4988                      -78.309752
                     8.5                      -78.279025
                  8.5012                      -78.248272
                  8.5024                      -78.217493
                  8.5036                      -78.186687
                  8.5048                      -78.155855
                   8.506                      -78.124996
                  8.5072                      -78.094111
                  8.5084                      -78.063199
                  8.5096                       -78.03226
                  8.5108                      -78.001295
                   8.512                      -77.970303
                  8.5132                      -77.939284
                  8.5144                      -77.908238
                  8.5156                      -77.877165
                  8.5168                      -77.846065
                   8.518                      -77.814937
                  8.5192                      -77.783783
                  8.5204                      -77.752601
                  8.5216                      -77.721392
                  8.5228                      -77.690155
                   8.524                      -77.658891
                  8.5252                      -77.627599
                  8.5264                      -77.596279
                  8.5276                      -77.564932
                  8.5288                      -77.533557
                    8.53                      -77.502154
                  8.5312                      -77.470723
                  8.5324                      -77.439264
                  8.5336                      -77.407777
                  8.5348                      -77.376262
                   8.536                      -77.344719
                  8.5372                      -77.313147
                  8.5384                      -77.281547
                  8.5396                      -77.249918
                  8.5408                      -77.218261
                   8.542                      -77.186575
                  8.5432                      -77.154861
                  8.5444                      -77.123117
                  8.5456                      -77.091345
                  8.5468                      -77.059544
                   8.548                      -77.027714
                  8.5492                      -76.995855
                  8.5504                      -76.963967
                  8.5516                       -76.93205
                  8.5528                      -76.900103
                   8.554                      -76.868127
                  8.5552                      -76.836121
                  8.5564                      -76.804086
                  8.5576                      -76.772021
                  8.5588                      -76.739927
                    8.56                      -76.707803
                  8.5612                      -76.675649
                  8.5624                      -76.643465
                  8.5636                      -76.611251
                  8.5648                      -76.579007
                   8.566                      -76.546733
                  8.5672                      -76.514428
                  8.5684                      -76.482093
                  8.5696                      -76.449728
                  8.5708                      -76.417333
                   8.572                      -76.384906
                  8.5732                      -76.352449
                  8.5744                      -76.319962
                  8.5756                      -76.287443
                  8.5768                      -76.254894
                   8.578                      -76.222314
                  8.5792                      -76.189702
                  8.5804                       -76.15706
                  8.5816                      -76.124386
                  8.5828                      -76.091681
                   8.584                      -76.058944
                  8.5852                      -76.026176
                  8.5864                      -75.993376
                  8.5876                      -75.960545
                  8.5888                      -75.927682
                    8.59                      -75.894787
                  8.5912                       -75.86186
                  8.5924                      -75.828902
                  8.5936                      -75.795911
                  8.5948                      -75.762888
                   8.596                      -75.729832
                  8.5972                      -75.696744
                  8.5984                      -75.663624
                  8.5996                      -75.630471
                  8.6008                      -75.597286
                   8.602                      -75.564068
                  8.6032                      -75.530817
                  8.6044                      -75.497533
                  8.6056                      -75.464216
                  8.6068                      -75.430866
                   8.608                      -75.397483
                  8.6092                      -75.364067
                  8.6104                      -75.330617
                  8.6116                      -75.297134
                  8.6128                      -75.263617
                   8.614                      -75.230067
                  8.6152                      -75.196482
                  8.6164                      -75.162864
                  8.6176                      -75.129212
                  8.6188                      -75.095526
                    8.62                      -75.061806
                  8.6212                      -75.028052
                  8.6224                      -74.994263
                  8.6236                       -74.96044
                  8.6248                      -74.926583
                   8.626                      -74.892691
                  8.6272                      -74.858764
                  8.6284                      -74.824802
                  8.6296                      -74.790805
                  8.6308                      -74.756774
                   8.632                      -74.722707
                  8.6332                      -74.688605
                  8.6344                      -74.654468
                  8.6356                      -74.620295
                  8.6368                      -74.586087
                   8.638                      -74.551843
                  8.6392                      -74.517564
                  8.6404                      -74.483249
                  8.6416                      -74.448898
                  8.6428                       -74.41451
                   8.644                      -74.380087
                  8.6452                      -74.345627
                  8.6464                      -74.311132
                  8.6476                      -74.276599
                  8.6488                       -74.24203
                    8.65                      -74.207425
                  8.6512                      -74.172783
                  8.6524                      -74.138103
                  8.6536                      -74.103387
                  8.6548                      -74.068634
                   8.656                      -74.033844
                  8.6572                      -73.999016
                  8.6584                      -73.964151
                  8.6596                      -73.929248
                  8.6608                      -73.894308
                   8.662                       -73.85933
                  8.6632                      -73.824314
                  8.6644                       -73.78926
                  8.6656                      -73.754168
                  8.6668                      -73.719038
                   8.668                       -73.68387
                  8.6692                      -73.648663
                  8.6704                      -73.613418
                  8.6716                      -73.578134
                  8.6728                      -73.542811
                   8.674                      -73.507449
                  8.6752                      -73.472049
                  8.6764                      -73.436609
                  8.6776                       -73.40113
                  8.6788                      -73.365612
                    8.68                      -73.330054
                  8.6812                      -73.294457
                  8.6824                      -73.258819
                  8.6836                      -73.223143
                  8.6848                      -73.187426
                   8.686                      -73.151669
                  8.6872                      -73.115872
                  8.6884                      -73.080034
                  8.6896                      -73.044157
                  8.6908                      -73.008238
                   8.692                      -72.972279
                  8.6932                      -72.936279
                  8.6944                      -72.900239
                  8.6956                      -72.864157
                  8.6968                      -72.828034
                   8.698                       -72.79187
                  8.6992                      -72.755664
                  8.7004                      -72.719417
                  8.7016                      -72.683128
                  8.7028                      -72.646797
                   8.704                      -72.610424
                  8.7052                      -72.574009
                  8.7064                      -72.537552
                  8.7076                      -72.501053
                  8.7088                      -72.464511
                    8.71                      -72.427927
                  8.7112                        -72.3913
                  8.7124                       -72.35463
                  8.7136                      -72.317917
                  8.7148                       -72.28116
                   8.716                      -72.244361
                  8.7172                      -72.207518
                  8.7184                      -72.170632
                  8.7196                      -72.133702
                  8.7208                      -72.096728
                   8.722                       -72.05971
                  8.7232                      -72.022648
                  8.7244                      -71.985542
                  8.7256                      -71.948391
                  8.7268                      -71.911196
                   8.728                      -71.873956
                  8.7292                      -71.836672
                  8.7304                      -71.799342
                  8.7316                      -71.761968
                  8.7328                      -71.724548
                   8.734                      -71.687083
                  8.7352                      -71.649572
                  8.7364                      -71.612016
                  8.7376                      -71.574413
                  8.7388                      -71.536765
                    8.74                      -71.499071
                  8.7412                       -71.46133
                  8.7424                      -71.423543
                  8.7436                       -71.38571
                  8.7448                      -71.347829
                   8.746                      -71.309902
                  8.7472                      -71.271928
                  8.7484                      -71.233906
                  8.7496                      -71.195838
                  8.7508                      -71.157721
                   8.752                      -71.119557
                  8.7532                      -71.081346
                  8.7544                      -71.043086
                  8.7556                      -71.004778
                  8.7568                      -70.966422
                   8.758                      -70.928018
                  8.7592                      -70.889565
                  8.7604                      -70.851063
                  8.7616                      -70.812512
                  8.7628                      -70.773912
                   8.764                      -70.735263
                  8.7652                      -70.696564
                  8.7664                      -70.657816
                  8.7676                      -70.619018
                  8.7688                       -70.58017
                    8.77                      -70.541273
                  8.7712                      -70.502324
                  8.7724                      -70.463326
                  8.7736                      -70.424277
                  8.7748                      -70.385177
                   8.776                      -70.346026
                  8.7772                      -70.306824
                  8.7784                       -70.26757
                  8.7796                      -70.228266
                  8.7808                      -70.188909
                   8.782                      -70.149501
                  8.7832                      -70.110041
                  8.7844                      -70.070528
                  8.7856                      -70.030964
                  8.7868                      -69.991346
                   8.788                      -69.951676
                  8.7892                      -69.911954
                  8.7904                      -69.872178
                  8.7916                      -69.832348
                  8.7928                      -69.792466
                   8.794                      -69.752529
                  8.7952                      -69.712539
                  8.7964                      -69.672495
                  8.7976                      -69.632397
                  8.7988                      -69.592244
                     8.8                      -69.552037
                  8.8012                      -69.511775
                  8.8024                      -69.471457
                  8.8036                      -69.431085
                  8.8048                      -69.390658
                   8.806                      -69.350175
                  8.8072                      -69.309636
                  8.8084                      -69.269041
                  8.8096                       -69.22839
                  8.8108                      -69.187683
                   8.812                      -69.146919
                  8.8132                      -69.106098
                  8.8144                       -69.06522
                  8.8156                      -69.024286
                  8.8168                      -68.983294
                   8.818                      -68.942244
                  8.8192                      -68.901136
                  8.8204                      -68.859971
                  8.8216                      -68.818747
                  8.8228                      -68.777465
                   8.824                      -68.736125
                  8.8252                      -68.694725
                  8.8264                      -68.653266
                  8.8276                      -68.611749
                  8.8288                      -68.570171
                    8.83                      -68.528534
                  8.8312                      -68.486837
                  8.8324                       -68.44508
                  8.8336                      -68.403263
                  8.8348                      -68.361385
                   8.836                      -68.319446
                  8.8372                      -68.277446
                  8.8384                      -68.235385
                  8.8396                      -68.193262
                  8.8408                      -68.151077
                   8.842                      -68.108831
                  8.8432                      -68.066523
                  8.8444                      -68.024152
                  8.8456                      -67.981718
                  8.8468                      -67.939221
                   8.848                      -67.896662
                  8.8492                      -67.854039
                  8.8504                      -67.811352
                  8.8516                      -67.768602
                  8.8528                      -67.725787
                   8.854                      -67.682908
                  8.8552                      -67.639965
                  8.8564                      -67.596956
                  8.8576                      -67.553883
                  8.8588                      -67.510744
                    8.86                       -67.46754
                  8.8612                       -67.42427
                  8.8624                      -67.380933
                  8.8636                      -67.337531
                  8.8648                      -67.294062
                   8.866                      -67.250526
                  8.8672                      -67.206922
                  8.8684                      -67.163252
                  8.8696                      -67.119514
                  8.8708                      -67.075708
                   8.872                      -67.031833
                  8.8732                      -66.987891
                  8.8744                      -66.943879
                  8.8756                      -66.899799
                  8.8768                      -66.855649
                   8.878                       -66.81143
                  8.8792                      -66.767141
                  8.8804                      -66.722782
                  8.8816                      -66.678352
                  8.8828                      -66.633852
                   8.884                      -66.589281
                  8.8852                      -66.544639
                  8.8864                      -66.499925
                  8.8876                       -66.45514
                  8.8888                      -66.410282
                    8.89                      -66.365352
                  8.8912                       -66.32035
                  8.8924                      -66.275274
                  8.8936                      -66.230125
                  8.8948                      -66.184903
                   8.896                      -66.139607
                  8.8972                      -66.094236
                  8.8984                      -66.048792
                  8.8996                      -66.003272
                  8.9008                      -65.957677
                   8.902                      -65.912007
                  8.9032                      -65.866262
                  8.9044                       -65.82044
                  8.9056                      -65.774542
                  8.9068                      -65.728567
                   8.908                      -65.682516
                  8.9092                      -65.636387
                  8.9104                       -65.59018
                  8.9116                      -65.543896
                  8.9128                      -65.497533
                   8.914                      -65.451092
                  8.9152                      -65.404572
                  8.9164                      -65.357973
                  8.9176                      -65.311294
                  8.9188                      -65.264535
                    8.92                      -65.217696
                  8.9212                      -65.170776
                  8.9224                      -65.123775
                  8.9236                      -65.076693
                  8.9248                       -65.02953
                   8.926                      -64.982284
                  8.9272                      -64.934956
                  8.9284                      -64.887545
                  8.9296                      -64.840052
                  8.9308                      -64.792475
                   8.932                      -64.744814
                  8.9332                      -64.697069
                  8.9344                      -64.649239
                  8.9356                      -64.601325
                  8.9368                      -64.553325
                   8.938                       -64.50524
                  8.9392                      -64.457068
                  8.9404                       -64.40881
                  8.9416                      -64.360466
                  8.9428                      -64.312034
                   8.944                      -64.263515
                  8.9452                      -64.214908
                  8.9464                      -64.166212
                  8.9476                      -64.117428
                  8.9488                      -64.068555
                    8.95                      -64.019592
                  8.9512                      -63.970539
                  8.9524                      -63.921396
                  8.9536                      -63.872162
                  8.9548                      -63.822837
                   8.956                      -63.773421
                  8.9572                      -63.723912
                  8.9584                      -63.674311
                  8.9596                      -63.624617
                  8.9608                       -63.57483
                   8.962                       -63.52495
                  8.9632                      -63.474975
                  8.9644                      -63.424906
                  8.9656                      -63.374741
                  8.9668                      -63.324482
                   8.968                      -63.274126
                  8.9692                      -63.223674
                  8.9704                      -63.173125
                  8.9716                      -63.122479
                  8.9728                      -63.071736
                   8.974                      -63.020894
                  8.9752                      -62.969954
                  8.9764                      -62.918914
