        Frequency / GHz                S2,1/abs,dB
                  7.2748                      -102.67083
                   7.276                      -102.64929
                  7.2772                      -102.62776
                  7.2784                      -102.60623
                  7.2796                       -102.5847
                  7.2808                      -102.56318
                   7.282                      -102.54166
                  7.2832                      -102.52015
                  7.2844                      -102.49864
                  7.2856                      -102.47713
                  7.2868                      -102.45563
                   7.288                      -102.43413
                  7.2892                      -102.41263
                  7.2904                      -102.39114
                  7.2916                      -102.36966
                  7.2928                      -102.34817
                   7.294                      -102.32669
                  7.2952                      -102.30522
                  7.2964                      -102.28375
                  7.2976                      -102.26228
                  7.2988                      -102.24081
                     7.3                      -102.21935
                  7.3012                      -102.19789
                  7.3024                      -102.17644
                  7.3036                      -102.15499
                  7.3048                      -102.13354
                   7.306                       -102.1121
                  7.3072                      -102.09065
                  7.3084                      -102.06922
                  7.3096                      -102.04778
                  7.3108                      -102.02635
                   7.312                      -102.00492
                  7.3132                       -101.9835
                  7.3144                      -101.96207
                  7.3156                      -101.94066
                  7.3168                      -101.91924
                   7.318                      -101.89783
                  7.3192                      -101.87642
                  7.3204                      -101.85501
                  7.3216                       -101.8336
                  7.3228                       -101.8122
                   7.324                       -101.7908
                  7.3252                      -101.76941
                  7.3264                      -101.74801
                  7.3276                      -101.72662
                  7.3288                      -101.70523
                    7.33                      -101.68385
                  7.3312                      -101.66246
                  7.3324                      -101.64108
                  7.3336                      -101.61971
                  7.3348                      -101.59833
                   7.336                      -101.57696
                  7.3372                      -101.55559
                  7.3384                      -101.53422
                  7.3396                      -101.51285
                  7.3408                      -101.49149
                   7.342                      -101.47013
                  7.3432                      -101.44877
                  7.3444                      -101.42741
                  7.3456                      -101.40606
                  7.3468                       -101.3847
                   7.348                      -101.36335
                  7.3492                        -101.342
                  7.3504                      -101.32066
                  7.3516                      -101.29931
                  7.3528                      -101.27797
                   7.354                      -101.25663
                  7.3552                      -101.23529
                  7.3564                      -101.21395
                  7.3576                      -101.19262
                  7.3588                      -101.17129
                    7.36                      -101.14995
                  7.3612                      -101.12863
                  7.3624                       -101.1073
                  7.3636                      -101.08597
                  7.3648                      -101.06465
                   7.366                      -101.04332
                  7.3672                        -101.022
                  7.3684                      -101.00068
                  7.3696                      -100.97937
                  7.3708                      -100.95805
                   7.372                      -100.93673
                  7.3732                      -100.91542
                  7.3744                      -100.89411
                  7.3756                       -100.8728
                  7.3768                      -100.85149
                   7.378                      -100.83018
                  7.3792                      -100.80887
                  7.3804                      -100.78757
                  7.3816                      -100.76626
                  7.3828                      -100.74496
                   7.384                      -100.72366
                  7.3852                      -100.70236
                  7.3864                      -100.68106
                  7.3876                      -100.65976
                  7.3888                      -100.63846
                    7.39                      -100.61716
                  7.3912                      -100.59587
                  7.3924                      -100.57457
                  7.3936                      -100.55328
                  7.3948                      -100.53199
                   7.396                      -100.51069
                  7.3972                       -100.4894
                  7.3984                      -100.46811
                  7.3996                      -100.44682
                  7.4008                      -100.42553
                   7.402                      -100.40425
                  7.4032                      -100.38296
                  7.4044                      -100.36167
                  7.4056                      -100.34039
                  7.4068                       -100.3191
                   7.408                      -100.29782
                  7.4092                      -100.27653
                  7.4104                      -100.25525
                  7.4116                      -100.23397
                  7.4128                      -100.21268
                   7.414                       -100.1914
                  7.4152                      -100.17012
                  7.4164                      -100.14884
                  7.4176                      -100.12756
                  7.4188                      -100.10628
                    7.42                        -100.085
                  7.4212                      -100.06372
                  7.4224                      -100.04244
                  7.4236                      -100.02116
                  7.4248                      -99.999878
                   7.426                      -99.978599
                  7.4272                       -99.95732
                  7.4284                      -99.936041
                  7.4296                      -99.914762
                  7.4308                      -99.893484
                   7.432                      -99.872205
                  7.4332                      -99.850926
                  7.4344                      -99.829648
                  7.4356                      -99.808369
                  7.4368                       -99.78709
                   7.438                      -99.765812
                  7.4392                      -99.744533
                  7.4404                      -99.723254
                  7.4416                      -99.701974
                  7.4428                      -99.680695
                   7.444                      -99.659415
                  7.4452                      -99.638135
                  7.4464                      -99.616855
                  7.4476                      -99.595575
                  7.4488                      -99.574294
                    7.45                      -99.553013
                  7.4512                      -99.531731
                  7.4524                      -99.510449
                  7.4536                      -99.489167
                  7.4548                      -99.467884
                   7.456                      -99.446601
                  7.4572                      -99.425317
                  7.4584                      -99.404033
                  7.4596                      -99.382748
                  7.4608                      -99.361462
                   7.462                      -99.340176
                  7.4632                      -99.318889
                  7.4644                      -99.297602
                  7.4656                      -99.276314
                  7.4668                      -99.255025
                   7.468                      -99.233736
                  7.4692                      -99.212445
                  7.4704                      -99.191154
                  7.4716                      -99.169863
                  7.4728                       -99.14857
                   7.474                      -99.127276
                  7.4752                      -99.105982
                  7.4764                      -99.084687
                  7.4776                       -99.06339
                  7.4788                      -99.042093
                    7.48                      -99.020795
                  7.4812                      -98.999496
                  7.4824                      -98.978195
                  7.4836                      -98.956894
                  7.4848                      -98.935592
                   7.486                      -98.914288
                  7.4872                      -98.892984
                  7.4884                      -98.871678
                  7.4896                      -98.850371
                  7.4908                      -98.829063
                   7.492                      -98.807753
                  7.4932                      -98.786443
                  7.4944                      -98.765131
